ano,focos_no_periodo_analisado,internacoes,taxa_media_mensal_100k,focos_ano_completo
2015,13419,15709,33.23950351959135,13419
2016,11173,14546,30.2915426662605,11173
2017,11685,15907,32.62079846494606,11685
2018,11446,16279,33.244612959513496,11446
2019,12676,16924,34.02823804903911,12676
2020,16729,11254,22.28842866538299,16729
2021,14848,15746,30.72993450031362,14848
2022,21217,20404,43.13800805237179,21217
2023,19601,24207,51.178286655742205,19601
2024,25499,19201,37.37456716860432,25499
2025,4427,16352,34.39790704554626,4545
