mes,focos_medios,internacoes_medias,taxa_media_100k
1,137.63636363636363,1254.2727272727273,30.556434872350152
2,75.81818181818181,1166.5454545454545,28.423750146492146
3,47.09090909090909,1606.7272727272727,39.22158625792726
4,16.181818181818183,1737.909090909091,42.532859278378616
5,31.454545454545453,1874.6363636363637,45.93048299176838
6,112.0909090909091,1774.8181818181818,43.46522068415382
7,1535.3636363636363,1541.0,37.69034931875354
8,5846.727272727273,1413.4545454545455,34.49720867767034
9,4497.090909090909,1161.909090909091,28.342806447056116
10,1767.1818181818182,1178.4545454545455,28.751450309361818
11,567.6363636363636,1138.4545454545455,27.731265699121924
12,174.3,1219.9,29.740646440881914
